"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAWM","MDPR","MDWM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-12",,,,,"0.00","0.0","0.0","70","34","34","95.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-13",,,,,"0.00","0.0","0.0","68","31","33","42.9"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-14",,,,,"0.00","0.0","0.0","69","30","50","26.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-15",,,,,"0.00","0.0","0.0","74","41","43","24.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-16",,,,,"0.00","0.0","0.0","79","39","45","26.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-17",,,,,"0.00","0.0","0.0","76","37","49","18.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-18",,,,,"0.00","0.0","0.0","74","37","37","75.8"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-19",,,,,"0.00","0.0","0.0","64","36","39","16.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-20",,,,,"0.00","0.0","0.0","73","36","38","21.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-21",,,,,"0.00","0.0","0.0","73","40","37","21.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-22",,,,,"0.00","0.0","0.0","76","38","40","19.3"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-23",,,,,"0.00","0.0","0.0","61","33","30","88.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-24",,,,,"0.00","0.0","0.0","70","35","35","19.3"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-25",,,,,"0.00","0.0","0.0","72","32","34","72.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-26",,,,,"0.00","0.0","0.0","65","31","31","88.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-27",,,,,"0.00","0.0","0.0","62","29","43","23.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-28",,,,,"0.00","0.0","0.0","72","30","33","44.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-02-29",,,,,"0.00","0.0","0.0","75","36","36","42.3"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-01",,,,,"0.00","0.0","0.0","76","37","46","21.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-02",,,,,"0.00","0.0","0.0","74","35","35","41.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-03",,,,,"0.00","0.0","0.0","73","46","46","44.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-04",,,,,"0.00","0.0","0.0","72","37","39","51.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-05",,,,,"0.00","0.0","0.0","75","38","41","42.9"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-06",,,,,"0.00","0.0","0.0","76","37","38","36.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-07",,,,,"0.09","0.0","0.0","72","39","42","67.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-08",,,,,"0.00","0.0","0.0","54","31","31","60.3"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-09",,,,,"0.00","0.0","0.0","63","31","34","37.3"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-10",,,,,"0.00","0.0","0.0","69","31","38","21.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-11",,,,,"0.00","0.0","0.0","71","39","47","23.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-12",,,,,"0.00","0.0","0.0","70","34","42","31.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-13",,,,,"0.00","0.0","0.0","76","34","54","31.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-14",,,,,"0.00","0.0","0.0","76","45","51","34.8"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-15",,,,,"0.00","0.0","0.0","78","46","51","31.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-16",,,,,"0.00","0.0","0.0","79","38","53","34.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-17",,,,,"0.00","0.0","0.0","77","48","51","52.8"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-18",,,,,"0.00","0.0","0.0","75","35","49","49.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-19",,,,,"0.00","0.0","0.0","78","32","46","92.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-20",,,,,"0.00","0.0","0.0","72","33","41","92.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-21",,,,,"0.00","0.0","0.0","77","37","38","37.3"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-22",,,,,"0.11","0.0","0.0","53","37","39","98.8"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-23",,,,,"0.00","0.0","0.0","68","35","47","34.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-24",,,,,"0.00","0.0","0.0","64","37","45","31.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-25",,,,,"0.00","0.0","0.0","73","36","49","21.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-26",,,,,"0.00","0.0","0.0","80","39","58","29.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-27",,,,,"0.00","0.0","0.0","80","45","51","37.9"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-28",,,,,"0.00","0.0","0.0","80","45","49","39.1"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-29",,,,,"0.00","0.0","0.0","80","55","57","57.8"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-30",,,,,"0.00","0.0","0.0","87","42","58","42.3"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-03-31",,,,,"0.00","0.0","0.0","78","43","47","32.9"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-01",,,,,"0.00","0.0","0.0","72","44","45","72.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-02",,,,,"0.00","0.0","0.0","65","39","41","67.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-03",,,,,"0.00","0.0","0.0","66","39","47","41.0"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-04",,,,,"0.00","0.0","0.0","70","40","48","26.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-05",,,,,"0.00","0.0","0.0","79","39","48","31.7"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-06",,,,,"0.00","0.0","0.0","86","48","48","24.2"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-07",,,,,"0.00","0.0","0.0","87","47","50","93.8"
"USC00298535","STATE UNIVERSITY, NM US","32.2823","-106.7598","1184.5","2000-04-08",,,,,"0.00","0.0","0.0","87","49","50","44.7"
